ride_id,driver_id,customer_id,vehicle_id,start_time,end_time,distance_km,fare_amount,payment_id,rating,city
R001349,D0216,C01014,V0188,2024-01-09 16:37:00,2024-01-09 17:28:00,12.02,121.16,P001349,4.4,Hyderabad
R001350,D0072,C01445,V0184,2024-05-28 01:15:00,2024-05-28 01:35:00,3.49,81.88,P001350,4.6,Mumbai
R001351,D0247,C00900,V0258,2025-06-03 17:54:00,2025-06-03 18:23:00,3.47,52.76,P001351,5.0,Pune
R001352,D0109,C00262,V0152,2024-02-25 13:22:00,2024-02-25 13:35:00,1.37,35.96,P001352,4.0,Delhi
R001353,D0294,C00680,V0133,2024-07-19 06:40:00,2024-07-19 07:00:00,3.22,39.32,P001353,4.2,Bangalore
R001354,D0040,C01441,V0294,2024-07-25 02:21:00,2024-07-25 02:39:00,2.4,68.8,P001354,4.0,Bangalore
R001355,D0029,C01589,V0069,2024-07-12 21:30:00,2024-07-12 22:02:00,6.46,58.76,P001355,5.0,Ahmedabad
R001356,D0276,C01699,V0012,2025-04-23 19:44:00,2025-04-23 20:12:00,6.88,122.56,P001356,4.6,Chennai
R001357,D0290,C01967,V0102,2024-12-05 18:36:00,2024-12-05 19:19:00,10.35,127.8,P001357,4.1,Delhi
R001358,D0253,C00610,V0158,2024-12-09 19:19:00,2024-12-09 19:37:00,5.08,65.64,P001358,5.0,Ahmedabad
R001359,D0298,C01063,V0294,2025-03-04 10:10:00,2025-03-04 10:26:00,1.58,78.96,P001359,4.8,Hyderabad
R001360,D0080,C01684,V0165,2024-04-17 14:56:00,2024-04-17 15:11:00,4.68,48.08,P001360,3.9,Kolkata
R001361,D0057,C00008,V0198,2024-02-13 15:14:00,2024-02-13 15:35:00,6.13,123.56,P001361,4.6,Chennai
R001362,D0001,C01384,V0080,2024-01-04 20:14:00,2024-01-04 20:58:00,11.78,119.24,P001362,4.8,Bangalore
R001363,D0295,C01386,V0002,2024-08-23 14:39:00,2024-08-23 14:45:00,1.17,54.04,P001363,4.5,Kolkata
R001364,D0111,C01598,V0154,2024-08-06 07:30:00,2024-08-06 07:57:00,6.32,57.92,P001364,4.9,Ahmedabad
R001365,D0193,C01355,V0157,2024-12-05 23:24:00,2024-12-05 23:35:00,1.88,31.28,P001365,4.2,Hyderabad
R001366,D0119,C00017,V0044,2024-07-29 12:11:00,2024-07-29 12:30:00,2.97,85.64,P001366,4.6,Bangalore
R001367,D0206,C01560,V0214,2024-01-07 11:00:00,2024-01-07 11:32:00,6.94,61.64,P001367,4.3,Delhi
R001368,D0084,C01131,V0261,2024-03-16 11:01:00,2024-03-16 11:18:00,1.56,37.48,P001368,5.0,Chennai
R001369,D0186,C01483,V0257,2025-07-22 03:09:00,2025-07-22 03:23:00,2.42,44.36,P001369,4.9,Bangalore
R001370,D0117,C01953,V0021,2024-10-24 14:12:00,2024-10-24 14:28:00,0.94,51.28,P001370,4.6,Hyderabad
R001371,D0204,C00293,V0191,2025-08-22 11:02:00,2025-08-22 11:10:00,2.69,82.28,P001371,4.6,Mumbai
R001372,D0062,C00196,V0241,2024-01-31 06:12:00,2024-01-31 06:50:00,10.51,166.12,P001372,5.0,Hyderabad
R001373,D0059,C00206,V0187,2024-10-17 05:14:00,2024-10-17 05:46:00,9.24,150.88,P001373,4.2,Ahmedabad
R001374,D0180,C00060,V0172,2024-09-25 23:11:00,2024-09-25 23:24:00,2.55,70.6,P001374,4.9,Pune
R001375,D0199,C00623,V0282,2024-12-13 17:15:00,2024-12-13 17:43:00,7.38,138.56,P001375,5.0,Chennai
R001376,D0117,C01366,V0021,2024-07-01 06:01:00,2024-07-01 06:13:00,2.24,86.88,P001376,4.3,Hyderabad
R001377,D0236,C00860,V0150,2024-06-29 08:58:00,2024-06-29 09:13:00,1.46,36.68,P001377,5.0,Kolkata
R001378,D0169,C01106,V0019,2024-04-13 00:53:00,2024-04-13 00:57:00,1.4,56.8,P001378,4.8,Pune
R001379,D0022,C01390,V0284,2024-05-20 12:41:00,2024-05-20 12:53:00,0.97,61.64,P001379,4.2,Bangalore
R001380,D0257,C01651,V0127,2024-04-23 10:59:00,2024-04-23 11:21:00,3.5,82.0,P001380,4.3,Kolkata
R001381,D0294,C00115,V0133,2024-08-03 09:29:00,2024-08-03 09:42:00,1.7,30.2,P001381,4.9,Bangalore
R001382,D0298,C01203,V0294,2024-09-02 11:51:00,2024-09-02 12:02:00,2.19,76.28,P001382,4.6,Hyderabad
R001383,D0016,C01550,V0285,2025-01-16 21:10:00,2025-01-16 21:26:00,3.36,80.32,P001383,4.7,Delhi
R001384,D0093,C01523,V0255,2025-06-23 19:56:00,2025-06-23 20:23:00,5.98,111.76,P001384,4.5,Ahmedabad
R001385,D0149,C00799,V0192,2025-03-20 22:04:00,2025-03-20 22:34:00,9.32,75.92,P001385,3.5,Ahmedabad
R001386,D0257,C00772,V0127,2024-05-01 04:56:00,2024-05-01 05:04:00,2.45,69.4,P001386,3.8,Kolkata
R001387,D0188,C00461,V0074,2024-05-13 06:12:00,2024-05-13 06:51:00,6.24,114.88,P001387,5.0,Kolkata
R001388,D0184,C01520,V0077,2025-06-29 12:44:00,2025-06-29 12:47:00,1.12,53.44,P001388,4.5,Hyderabad
R001389,D0202,C01708,V0043,2025-01-18 10:38:00,2025-01-18 11:06:00,6.46,68.76,P001389,4.1,Hyderabad
R001390,D0173,C01878,V0188,2025-03-15 20:15:00,2025-03-15 20:42:00,3.52,53.16,P001390,4.8,Bangalore
R001391,D0261,C01960,V0214,2024-02-17 19:37:00,2024-02-17 19:53:00,2.78,36.68,P001391,4.8,Pune
R001392,D0223,C00917,V0299,2024-07-12 17:18:00,2024-07-12 17:48:00,5.25,113.0,P001392,4.5,Hyderabad
R001393,D0148,C00590,V0095,2024-06-01 10:15:00,2024-06-01 11:20:00,18.36,130.16,P001393,4.8,Delhi
R001394,D0203,C01738,V0233,2024-02-24 20:50:00,2024-02-24 21:04:00,1.76,61.12,P001394,4.3,Pune
R001395,D0287,C01441,V0078,2024-10-13 04:54:00,2024-10-13 05:10:00,4.33,45.98,P001395,4.6,Hyderabad
R001396,D0179,C00944,V0299,2025-06-04 18:56:00,2025-06-04 19:29:00,8.12,137.44,P001396,4.8,Ahmedabad
R001397,D0023,C00881,V0220,2025-05-15 06:46:00,2025-05-15 06:54:00,1.65,29.9,P001397,4.2,Chennai
R001398,D0141,C00928,V0240,2024-03-24 15:50:00,2024-03-24 16:02:00,3.33,89.96,P001398,4.9,Ahmedabad
R001399,D0093,C00597,V0255,2024-03-07 05:32:00,2024-03-07 05:43:00,1.07,52.84,P001399,5.0,Ahmedabad
R001400,D0202,C00469,V0043,2025-02-01 20:48:00,2025-02-01 21:09:00,4.84,49.04,P001400,4.9,Hyderabad
R001401,D0197,C00938,V0172,2025-06-05 11:31:00,2025-06-05 11:46:00,1.89,82.68,P001401,4.7,Pune
R001402,D0087,C01415,V0219,2025-06-15 14:11:00,2025-06-15 14:23:00,2.87,74.44,P001402,4.9,Hyderabad
R001403,D0005,C01620,V0047,2024-11-25 22:23:00,2024-11-25 22:54:00,6.5,77.0,P001403,5.0,Pune
R001404,D0181,C00178,V0222,2025-06-22 22:30:00,2025-06-22 22:42:00,3.6,41.6,P001404,4.5,Bangalore
R001405,D0255,C00960,V0104,2025-05-21 15:17:00,2025-05-21 15:32:00,1.36,56.32,P001405,3.9,Pune
R001406,D0100,C01769,V0116,2025-08-18 12:40:00,2025-08-18 12:59:00,2.34,34.04,P001406,4.2,Kolkata
R001407,D0238,C01396,V0110,2025-08-20 20:02:00,2025-08-20 20:21:00,4.33,91.96,P001407,5.0,Kolkata
R001408,D0207,C01697,V0110,2024-07-31 07:57:00,2024-07-31 08:32:00,9.16,149.92,P001408,3.7,Pune
R001409,D0197,C00116,V0172,2024-07-26 14:55:00,2024-07-26 15:35:00,12.83,193.96,P001409,4.1,Pune
R001410,D0013,C01360,V0006,2024-08-28 12:13:00,2024-08-28 12:22:00,2.18,42.44,P001410,4.7,Ahmedabad
R001411,D0278,C01320,V0214,2024-11-09 13:56:00,2024-11-09 14:16:00,4.47,46.82,P001411,4.6,Kolkata
R001412,D0070,C01300,V0283,2025-01-21 18:10:00,2025-01-21 18:32:00,5.8,109.6,P001412,4.5,Kolkata
R001413,D0203,C01734,V0233,2025-01-18 08:35:00,2025-01-18 09:21:00,10.39,164.68,P001413,4.9,Pune
R001414,D0150,C00832,V0102,2024-03-27 04:48:00,2024-03-27 05:14:00,7.76,87.08,P001414,4.3,Delhi
R001415,D0229,C01801,V0266,2024-03-27 09:28:00,2024-03-27 10:02:00,9.23,150.76,P001415,4.4,Bangalore
R001416,D0188,C01896,V0074,2025-06-15 11:14:00,2025-06-15 11:29:00,2.84,84.08,P001416,5.0,Kolkata
R001417,D0224,C01401,V0019,2025-08-20 01:29:00,2025-08-20 01:47:00,3.72,94.64,P001417,4.3,Ahmedabad
R001418,D0281,C00192,V0294,2025-06-08 19:21:00,2025-06-08 19:44:00,2.9,74.8,P001418,4.7,Delhi
R001419,D0062,C00959,V0241,2025-03-12 14:29:00,2025-03-12 14:46:00,6.76,121.12,P001419,4.3,Hyderabad
R001420,D0082,C00859,V0175,2025-03-18 13:23:00,2025-03-18 13:35:00,2.43,69.16,P001420,5.0,Ahmedabad
R001421,D0119,C00808,V0044,2025-05-24 10:17:00,2025-05-24 10:30:00,1.41,56.92,P001421,5.0,Bangalore
R001422,D0068,C01805,V0258,2025-01-26 00:11:00,2025-01-26 00:24:00,1.42,56.36,P001422,4.7,Ahmedabad
R001423,D0300,C00607,V0271,2025-03-28 07:16:00,2025-03-28 07:38:00,3.79,85.48,P001423,4.2,Pune
R001424,D0157,C00415,V0217,2024-03-18 11:57:00,2024-03-18 12:15:00,1.22,27.32,P001424,4.1,Delhi
R001425,D0014,C00844,V0071,2024-03-25 09:53:00,2024-03-25 10:14:00,3.3,79.6,P001425,4.6,Chennai
R001426,D0076,C00347,V0230,2025-05-28 16:34:00,2025-05-28 17:20:00,10.35,164.2,P001426,4.5,Bangalore
R001427,D0251,C00009,V0041,2024-03-21 08:59:00,2024-03-21 09:14:00,1.83,81.96,P001427,4.6,Pune
R001428,D0294,C00035,V0133,2024-08-21 03:07:00,2024-08-21 03:24:00,1.53,39.18,P001428,4.2,Bangalore
R001429,D0158,C01620,V0266,2024-03-14 11:02:00,2024-03-14 11:26:00,3.26,79.12,P001429,4.5,Chennai
R001430,D0269,C00232,V0140,2025-07-13 06:21:00,2025-07-13 06:32:00,2.7,82.4,P001430,4.3,Chennai
R001431,D0111,C00642,V0154,2024-07-20 21:21:00,2024-07-20 21:54:00,9.89,89.34,P001431,4.8,Ahmedabad
R001432,D0048,C01932,V0054,2024-09-13 09:47:00,2024-09-13 10:11:00,2.26,87.12,P001432,4.8,Bangalore
R001433,D0047,C01590,V0054,2024-10-08 06:45:00,2024-10-08 07:17:00,7.41,128.92,P001433,4.5,Chennai
R001434,D0148,C01763,V0095,2024-05-21 22:47:00,2024-05-21 23:08:00,3.59,41.54,P001434,5.0,Delhi
R001435,D0218,C01055,V0221,2025-07-10 08:00:00,2025-07-10 08:15:00,2.81,73.72,P001435,3.8,Bangalore
R001436,D0088,C00233,V0200,2024-11-02 09:52:00,2024-11-02 10:12:00,3.11,77.32,P001436,4.3,Mumbai
R001437,D0150,C01553,V0102,2024-12-20 12:25:00,2024-12-20 13:18:00,14.63,142.04,P001437,5.0,Delhi
R001438,D0140,C01429,V0051,2025-08-16 20:00:00,2025-08-16 20:32:00,7.64,131.68,P001438,4.7,Ahmedabad
R001439,D0140,C01226,V0051,2025-04-28 20:32:00,2025-04-28 21:03:00,7.4,128.8,P001439,4.8,Ahmedabad
R001440,D0144,C01679,V0105,2024-06-01 12:14:00,2024-06-01 12:24:00,2.38,44.28,P001440,4.9,Bangalore
R001441,D0215,C00873,V0188,2024-08-20 23:47:00,2024-08-20 23:51:00,1.37,35.96,P001441,4.1,Mumbai
R001442,D0173,C00158,V0188,2024-08-02 15:14:00,2024-08-02 15:24:00,3.06,49.48,P001442,5.0,Bangalore
R001443,D0236,C00602,V0150,2025-06-12 18:50:00,2025-06-12 18:59:00,1.56,37.48,P001443,5.0,Kolkata
R001444,D0117,C01818,V0021,2025-07-19 14:46:00,2025-07-19 15:16:00,9.74,156.88,P001444,4.3,Hyderabad
R001445,D0143,C01049,V0084,2025-04-17 10:50:00,2025-04-17 10:56:00,1.56,58.72,P001445,4.3,Chennai
R001446,D0033,C01775,V0281,2024-03-28 10:54:00,2024-03-28 11:17:00,3.59,83.08,P001446,5.0,Bangalore
R001447,D0101,C01566,V0274,2024-07-11 13:49:00,2024-07-11 14:11:00,4.86,98.32,P001447,4.7,Chennai
R001448,D0085,C01870,V0225,2025-03-03 06:28:00,2025-03-03 06:37:00,1.34,35.72,P001448,4.7,Chennai
R001449,D0116,C01864,V0057,2025-04-05 17:01:00,2025-04-05 17:37:00,8.36,91.88,P001449,4.8,Bangalore
R001450,D0121,C00677,V0192,2025-01-18 04:36:00,2025-01-18 05:01:00,2.78,36.68,P001450,4.6,Kolkata
R001451,D0126,C01169,V0290,2024-05-11 09:47:00,2024-05-11 10:33:00,10.76,111.08,P001451,4.8,Delhi
R001452,D0015,C01712,V0216,2024-01-10 15:51:00,2024-01-10 16:11:00,4.15,58.2,P001452,4.6,Delhi
R001453,D0180,C01196,V0172,2024-12-29 10:14:00,2024-12-29 10:22:00,1.25,55.0,P001453,4.4,Pune
R001454,D0230,C01406,V0052,2025-03-05 13:43:00,2025-03-05 14:09:00,5.58,116.96,P001454,4.7,Chennai
R001455,D0087,C01887,V0219,2025-02-17 22:34:00,2025-02-17 22:59:00,9.93,159.16,P001455,4.6,Hyderabad
R001456,D0236,C01318,V0150,2024-11-02 10:37:00,2024-11-02 10:42:00,1.62,37.96,P001456,4.1,Kolkata
R001457,D0069,C01735,V0214,2024-01-24 18:50:00,2024-01-24 19:30:00,11.56,89.36,P001457,4.8,Ahmedabad
R001458,D0182,C01345,V0120,2024-02-02 04:09:00,2024-02-02 04:53:00,14.71,152.68,P001458,4.3,Chennai
R001459,D0152,C00074,V0015,2024-12-04 18:40:00,2024-12-04 19:02:00,4.9,64.2,P001459,4.6,Chennai
R001460,D0057,C01754,V0198,2025-08-10 12:24:00,2025-08-10 12:44:00,3.14,77.68,P001460,4.3,Chennai
R001461,D0067,C01653,V0199,2024-07-28 12:04:00,2024-07-28 12:23:00,4.1,99.2,P001461,4.3,Mumbai
R001462,D0213,C01152,V0009,2025-07-01 12:12:00,2025-07-01 12:41:00,6.18,114.16,P001462,4.8,Pune
R001463,D0230,C01235,V0052,2025-05-01 03:21:00,2025-05-01 03:48:00,6.95,133.4,P001463,4.4,Chennai
R001464,D0176,C00319,V0141,2025-08-06 14:40:00,2025-08-06 14:47:00,0.54,23.24,P001464,4.2,Pune
R001465,D0138,C00842,V0027,2024-11-07 02:10:00,2024-11-07 02:38:00,8.82,145.84,P001465,4.8,Delhi
R001466,D0244,C01393,V0244,2024-04-16 21:35:00,2024-04-16 21:47:00,2.44,79.28,P001466,4.7,Bangalore
R001467,D0024,C01435,V0091,2024-06-30 01:52:00,2024-06-30 02:04:00,2.48,69.76,P001467,4.1,Ahmedabad
R001468,D0009,C00379,V0058,2025-05-15 00:11:00,2025-05-15 00:37:00,4.95,49.7,P001468,4.7,Delhi
R001469,D0295,C00890,V0002,2024-07-22 02:58:00,2024-07-22 03:15:00,2.02,64.24,P001469,5.0,Kolkata
R001470,D0227,C01972,V0128,2025-01-30 09:13:00,2025-01-30 09:54:00,10.24,106.92,P001470,5.0,Bangalore
R001471,D0208,C00130,V0024,2024-08-26 09:42:00,2024-08-26 09:59:00,3.82,95.84,P001471,4.9,Hyderabad
R001472,D0084,C00083,V0261,2025-06-20 02:29:00,2025-06-20 02:35:00,1.36,35.88,P001472,4.9,Chennai
R001473,D0100,C00782,V0116,2024-02-28 11:33:00,2024-02-28 11:58:00,4.81,48.86,P001473,5.0,Kolkata
R001474,D0276,C00858,V0012,2024-01-12 05:20:00,2024-01-12 05:33:00,1.49,57.88,P001474,5.0,Chennai
R001475,D0278,C00285,V0214,2025-02-24 12:10:00,2025-02-24 12:33:00,5.81,54.86,P001475,4.4,Kolkata
R001476,D0229,C01962,V0266,2024-04-23 04:34:00,2024-04-23 04:56:00,5.24,102.88,P001476,4.5,Bangalore
R001477,D0135,C00775,V0146,2025-03-04 15:47:00,2025-03-04 16:12:00,8.51,93.08,P001477,4.7,Kolkata
R001478,D0182,C00200,V0120,2024-03-11 12:57:00,2024-03-11 13:04:00,2.04,51.32,P001478,4.4,Chennai
R001479,D0195,C01521,V0247,2024-07-30 04:55:00,2024-07-30 05:10:00,5.83,71.64,P001479,3.6,Ahmedabad
R001480,D0242,C00587,V0221,2024-07-29 09:27:00,2024-07-29 09:38:00,1.27,55.24,P001480,5.0,Ahmedabad
R001481,D0204,C00746,V0191,2025-05-01 05:38:00,2025-05-01 05:45:00,1.28,55.36,P001481,5.0,Mumbai
R001482,D0116,C01157,V0057,2025-08-11 09:37:00,2025-08-11 09:48:00,2.95,48.6,P001482,3.7,Bangalore
R001483,D0144,C00667,V0105,2024-07-26 16:45:00,2024-07-26 17:06:00,3.52,41.12,P001483,4.9,Bangalore
R001484,D0059,C01350,V0187,2025-04-14 08:12:00,2025-04-14 08:46:00,7.96,135.52,P001484,4.4,Ahmedabad
R001485,D0136,C01161,V0081,2024-01-08 04:28:00,2024-01-08 04:36:00,1.27,35.16,P001485,4.0,Mumbai
R001486,D0192,C01427,V0070,2024-03-06 12:38:00,2024-03-06 12:56:00,2.06,32.36,P001486,4.1,Kolkata
R001487,D0146,C01073,V0269,2024-09-09 16:21:00,2024-09-09 16:39:00,3.07,76.84,P001487,4.5,Kolkata
R001488,D0224,C00195,V0019,2025-08-05 15:29:00,2025-08-05 15:40:00,1.66,59.92,P001488,4.4,Ahmedabad
R001489,D0099,C00006,V0260,2025-04-18 18:02:00,2025-04-18 18:17:00,1.42,36.36,P001489,4.8,Bangalore
R001490,D0147,C01033,V0153,2024-04-03 09:41:00,2024-04-03 09:54:00,2.81,36.86,P001490,4.2,Ahmedabad
R001491,D0213,C00077,V0009,2025-04-12 11:44:00,2025-04-12 11:48:00,1.42,77.04,P001491,4.2,Pune
R001492,D0251,C01143,V0041,2024-10-31 12:39:00,2024-10-31 12:56:00,2.67,72.04,P001492,5.0,Pune
R001493,D0256,C00991,V0211,2024-06-28 13:15:00,2024-06-28 13:25:00,2.26,33.56,P001493,4.7,Chennai
R001494,D0282,C01730,V0148,2024-07-02 19:46:00,2024-07-02 20:18:00,7.22,126.64,P001494,4.0,Hyderabad
R001495,D0292,C01548,V0194,2025-03-18 14:24:00,2025-03-18 14:36:00,1.54,58.48,P001495,4.8,Hyderabad
R001496,D0268,C00725,V0271,2024-07-06 22:36:00,2024-07-06 22:47:00,2.34,78.08,P001496,5.0,Mumbai
R001497,D0074,C00381,V0267,2024-04-07 12:44:00,2024-04-07 13:10:00,3.61,83.32,P001497,4.8,Chennai
R001498,D0019,C00183,V0250,2024-02-14 07:56:00,2024-02-14 08:19:00,6.92,143.04,P001498,4.6,Chennai
R001499,D0060,C01733,V0084,2024-06-10 08:56:00,2024-06-10 09:13:00,0.86,50.32,P001499,4.6,Hyderabad
R001500,D0025,C00690,V0217,2025-07-04 09:42:00,2025-07-04 10:02:00,4.48,46.88,P001500,4.4,Pune
R001501,D0150,C00615,V0102,2024-03-09 22:46:00,2024-03-09 23:07:00,1.96,40.68,P001501,4.3,Delhi
R001502,D0259,C01686,V0239,2024-08-10 15:26:00,2024-08-10 15:38:00,1.72,60.64,P001502,4.3,Mumbai
R001503,D0109,C01190,V0152,2025-07-20 03:23:00,2025-07-20 03:45:00,5.35,67.8,P001503,4.7,Delhi
R001504,D0079,C00238,V0087,2024-03-19 03:32:00,2024-03-19 03:46:00,2.9,74.8,P001504,4.5,Hyderabad
R001505,D0054,C00424,V0283,2024-11-29 13:28:00,2024-11-29 14:42:00,21.3,295.6,P001505,4.6,Mumbai
R001506,D0294,C01754,V0133,2024-06-17 08:13:00,2024-06-17 08:38:00,5.25,51.5,P001506,4.3,Bangalore
R001507,D0256,C01576,V0211,2025-06-02 01:29:00,2025-06-02 02:08:00,10.5,83.0,P001507,5.0,Chennai
R001508,D0208,C00441,V0024,2024-01-28 02:40:00,2024-01-28 02:53:00,3.78,95.36,P001508,4.5,Hyderabad
R001509,D0034,C00763,V0254,2025-04-17 12:21:00,2025-04-17 12:45:00,4.69,96.28,P001509,4.9,Delhi
R001510,D0167,C01484,V0088,2025-02-12 06:25:00,2025-02-12 06:49:00,6.41,76.28,P001510,4.9,Mumbai
R001511,D0020,C00560,V0227,2024-02-08 00:16:00,2024-02-08 00:25:00,1.51,58.12,P001511,4.9,Hyderabad
R001512,D0121,C00499,V0192,2024-04-27 22:58:00,2024-04-27 23:29:00,7.44,64.64,P001512,4.6,Kolkata
R001513,D0015,C01293,V0216,2024-05-19 10:42:00,2024-05-19 11:02:00,3.95,56.6,P001513,4.5,Delhi
R001514,D0039,C01491,V0072,2025-04-20 15:29:00,2025-04-20 15:49:00,1.9,31.4,P001514,4.4,Delhi
R001515,D0102,C00907,V0094,2024-03-10 02:35:00,2024-03-10 02:50:00,1.64,38.12,P001515,4.5,Chennai
R001516,D0173,C00496,V0188,2024-09-05 22:28:00,2024-09-05 22:43:00,1.52,47.16,P001516,4.9,Bangalore
R001517,D0153,C01950,V0279,2024-05-23 15:52:00,2024-05-23 16:21:00,7.83,133.96,P001517,4.8,Kolkata
R001518,D0056,C01430,V0068,2024-10-12 05:10:00,2024-10-12 05:21:00,1.86,39.88,P001518,5.0,Bangalore
R001519,D0138,C01974,V0027,2024-01-19 19:06:00,2024-01-19 19:11:00,2.03,64.36,P001519,4.8,Delhi
R001520,D0026,C00651,V0066,2024-06-30 09:07:00,2024-06-30 09:25:00,1.47,38.82,P001520,4.8,Hyderabad
R001521,D0192,C01339,V0070,2025-07-01 23:25:00,2025-07-01 23:41:00,3.14,38.84,P001521,4.6,Kolkata
R001522,D0065,C00621,V0025,2024-06-21 02:42:00,2024-06-21 03:06:00,4.84,49.04,P001522,4.1,Mumbai
R001523,D0099,C01292,V0260,2024-01-12 21:17:00,2024-01-12 21:43:00,4.37,59.96,P001523,5.0,Bangalore
R001524,D0254,C00344,V0110,2024-06-06 14:22:00,2024-06-06 14:45:00,4.47,93.64,P001524,5.0,Bangalore
R001525,D0084,C00196,V0261,2024-07-01 06:45:00,2024-07-01 07:16:00,9.29,99.32,P001525,5.0,Chennai
R001526,D0198,C01132,V0010,2024-02-05 21:34:00,2024-02-05 22:03:00,8.57,152.84,P001526,4.8,Hyderabad
R001527,D0223,C01571,V0299,2024-08-09 14:44:00,2024-08-09 15:22:00,8.57,142.84,P001527,4.4,Hyderabad
R001528,D0249,C00751,V0290,2024-02-18 20:51:00,2024-02-18 21:33:00,10.72,110.76,P001528,4.4,Kolkata
R001529,D0042,C00252,V0291,2025-06-19 20:42:00,2025-06-19 20:59:00,1.95,83.4,P001529,4.5,Bangalore
R001530,D0110,C01429,V0289,2024-04-15 12:44:00,2024-04-15 13:04:00,5.13,101.56,P001530,4.5,Hyderabad
R001531,D0138,C01589,V0027,2024-11-11 14:03:00,2024-11-11 14:19:00,1.99,63.88,P001531,4.7,Delhi
R001532,D0001,C01314,V0080,2024-01-05 01:49:00,2024-01-05 02:17:00,7.29,83.32,P001532,4.0,Bangalore
R001533,D0221,C00582,V0220,2025-01-21 06:59:00,2025-01-21 07:27:00,3.39,40.34,P001533,4.5,Delhi
R001534,D0188,C01319,V0074,2024-09-12 11:58:00,2024-09-12 12:17:00,2.93,75.16,P001534,4.7,Kolkata
R001535,D0136,C00909,V0081,2024-09-01 06:05:00,2024-09-01 06:41:00,9.56,101.48,P001535,4.6,Mumbai
R001536,D0044,C01655,V0170,2024-01-17 13:01:00,2024-01-17 13:07:00,1.92,51.52,P001536,4.5,Ahmedabad
R001537,D0089,C00265,V0180,2024-01-15 10:52:00,2024-01-15 11:43:00,13.18,208.16,P001537,5.0,Hyderabad
R001538,D0086,C00650,V0024,2024-07-15 21:42:00,2024-07-15 21:45:00,1.22,54.64,P001538,4.9,Ahmedabad
R001539,D0059,C01686,V0187,2024-03-05 07:56:00,2024-03-05 08:33:00,6.46,117.52,P001539,4.3,Ahmedabad
R001540,D0124,C00363,V0088,2024-04-08 21:10:00,2024-04-08 21:28:00,3.09,49.72,P001540,4.2,Hyderabad
R001541,D0277,C00530,V0084,2024-06-20 01:26:00,2024-06-20 01:58:00,6.92,123.04,P001541,4.6,Bangalore
R001542,D0203,C00632,V0233,2025-06-08 03:52:00,2025-06-08 04:17:00,6.32,115.84,P001542,4.8,Pune
R001543,D0075,C00343,V0067,2024-11-30 10:35:00,2024-11-30 10:42:00,1.0,33.0,P001543,5.0,Hyderabad
R001544,D0176,C01962,V0141,2024-07-13 19:13:00,2024-07-13 19:41:00,9.42,76.52,P001544,4.7,Pune
R001545,D0294,C01663,V0133,2025-07-08 12:27:00,2025-07-08 12:48:00,4.85,49.1,P001545,4.4,Bangalore
R001546,D0171,C00576,V0263,2024-05-03 07:13:00,2024-05-03 07:41:00,5.95,55.7,P001546,4.4,Mumbai
R001547,D0121,C01554,V0192,2024-04-18 11:20:00,2024-04-18 11:36:00,2.34,54.04,P001547,4.7,Kolkata
R001548,D0298,C00772,V0294,2024-06-26 00:25:00,2024-06-26 00:40:00,2.78,73.36,P001548,4.4,Hyderabad
R001549,D0005,C01206,V0047,2024-11-19 00:24:00,2024-11-19 00:46:00,3.19,60.52,P001549,4.8,Pune
R001550,D0189,C01719,V0025,2024-08-05 14:14:00,2024-08-05 14:34:00,2.23,33.38,P001550,3.6,Pune
R001551,D0279,C01328,V0029,2024-03-08 21:52:00,2024-03-08 22:01:00,2.84,74.08,P001551,4.5,Chennai
R001552,D0214,C00174,V0186,2024-10-12 20:39:00,2024-10-12 21:26:00,12.89,194.68,P001552,4.3,Pune
R001553,D0192,C00191,V0070,2025-01-12 01:04:00,2025-01-12 01:28:00,4.42,46.52,P001553,5.0,Kolkata
R001554,D0011,C01837,V0218,2024-08-11 13:19:00,2024-08-11 13:36:00,2.26,67.12,P001554,3.9,Bangalore
R001555,D0029,C01491,V0069,2025-05-26 03:45:00,2025-05-26 04:36:00,11.92,91.52,P001555,4.5,Ahmedabad
R001556,D0021,C00424,V0241,2025-07-03 18:10:00,2025-07-03 18:21:00,1.36,56.32,P001556,4.4,Mumbai
R001557,D0196,C01467,V0174,2024-09-14 03:38:00,2024-09-14 03:54:00,2.2,66.4,P001557,4.6,Pune
R001558,D0165,C01216,V0010,2024-11-28 20:44:00,2024-11-28 20:59:00,2.0,64.0,P001558,4.9,Delhi
R001559,D0201,C00890,V0211,2025-02-01 21:59:00,2025-02-01 22:25:00,6.89,71.34,P001559,4.4,Bangalore
R001560,D0181,C00309,V0222,2024-05-16 10:11:00,2024-05-16 10:42:00,8.89,73.34,P001560,4.7,Bangalore
R001561,D0167,C01448,V0088,2024-11-21 21:30:00,2024-11-21 21:51:00,3.94,56.52,P001561,4.5,Mumbai
R001562,D0108,C00388,V0105,2024-03-10 10:01:00,2024-03-10 10:21:00,2.67,46.02,P001562,5.0,Delhi
R001563,D0151,C00444,V0270,2025-08-22 14:24:00,2025-08-22 14:41:00,2.34,43.72,P001563,4.2,Pune
R001564,D0240,C00280,V0011,2025-06-07 20:47:00,2025-06-07 21:05:00,2.48,44.84,P001564,4.3,Pune
R001565,D0044,C00682,V0170,2024-08-26 16:37:00,2024-08-26 16:57:00,6.37,58.22,P001565,4.9,Ahmedabad
R001566,D0287,C00964,V0078,2024-01-14 07:01:00,2024-01-14 07:15:00,1.1,26.6,P001566,4.3,Hyderabad
